TK	R
0,318	16,210
0,502	16,177
0,557	16,199
0,628	16,223
0,708	16,193
0,800	16,188
0,887	16,206
1,002	16,235
1,089	16,262
1,174	16,312
1,261	16,334
1,346	16,405
1,442	16,461
1,527	16,537
1,580	16,638
1,634	16,675
1,687	16,713
1,745	16,801
1,806	16,908
1,870	17,005
1,935	17,083
1,998	17,173
2,058	17,241
2,114	17,302
2,167	17,379
2,219	17,458
2,269	17,529
2,337	17,611
2,414	17,685
2,492	17,808
2,555	17,887
2,618	17,960
2,678	18,054
2,729	18,089
2,775	18,146
2,819	18,187
2,861	18,223
2,899	18,294
2,938	18,325
2,976	18,364
3,017	18,388
3,058	18,450
3,102	18,506
3,147	18,535
3,192	18,620
3,241	18,690
3,290	18,745
3,345	18,825
3,397	18,888
3,457	18,950
3,517	19,018
3,581	19,107
3,643	19,185
3,706	19,251
3,775	19,380
3,846	19,498
3,927	19,608
4,015	19,698
4,102	19,838
4,207	19,998
4,312	20,117
4,431	20,315
4,553	20,486
4,671	20,689
4,814	20,929
4,960	21,416
5,124	21,653
5,295	21,891
5,481	22,227
5,696	22,733
5,952	23,096
6,208	23,642
6,507	24,454
6,864	25,428
7,292	26,146
7,772	27,011
8,438	28,269
9,226	28,898
10,256	29,361
11,791	30,028
13,619	30,659
15,815	31,356
17,908	31,989
19,832	32,552
21,703	33,105
23,512	33,647
25,230	34,180
26,809	34,755
28,353	35,258
29,758	35,731
31,397	36,269
32,962	36,904
34,480	37,400
35,917	37,873
37,227	38,447
38,555	39,007
39,878	39,562
41,141	40,088
42,334	40,704
43,515	41,166
44,732	41,843
45,946	42,436
47,157	42,981
48,382	43,503
49,628	44,218
50,790	44,662
52,013	45,643
53,207	46,266
54,331	46,617
55,439	47,384
56,572	47,943
57,679	48,621
58,733	49,189
59,842	49,878
60,893	50,564
62,010	51,131
63,068	51,592
64,127	52,214
65,195	52,872
66,311	53,469
67,415	53,871
68,555	54,493
69,608	55,216
70,722	55,795
71,915	56,402
73,071	56,677
74,245	57,527
75,363	58,233
76,547	58,818
77,761	59,419
78,871	60,518
80,050	61,049
81,134	61,882
82,310	63,017
83,463	63,057
84,612	63,535
85,694	64,012
86,782	64,944
87,846	65,678
88,975	66,110
90,102	66,787
91,245	68,003
92,383	68,255
93,493	68,907
94,605	69,548
95,658	70,031
96,712	70,610
97,819	71,794
98,926	71,906
100,014	72,689
101,121	73,254
102,182	73,872
103,216	74,315
104,429	75,088
105,525	75,924
106,565	76,770
107,629	76,896
108,674	77,907
109,776	78,050
110,810	78,683
111,876	79,596
112,989	79,896
114,051	80,613
115,096	81,332
116,153	81,688
117,254	82,453
118,364	82,876
119,336	83,619
120,383	84,151
121,394	84,873
122,485	85,034
123,502	85,586
124,549	86,302
125,605	86,505
126,594	87,218
127,625	87,960
128,656	88,604
129,694	89,312
130,848	89,862
131,923	90,079
133,009	90,947
134,131	91,444
135,149	92,058
136,220	92,353
137,282	93,111
138,420	93,766
139,451	94,408
140,553	95,034
141,677	95,436
142,730	96,071
143,754	96,531
144,750	97,107
145,802	97,618
146,950	98,159
147,996	98,707
149,113	99,371
150,249	99,981
151,271	100,394
152,423	101,115
153,525	101,690
154,662	102,188
155,690	102,756
156,828	103,349
157,867	103,892
158,938	104,347
159,989	105,024
161,065	105,530
162,079	106,092
163,259	106,713
164,334	107,305
165,417	107,903
166,468	108,462
