T	R
0,345	10,065
0,345	10,046
0,345	10,060
0,345	10,082
0,346	10,064
0,347	10,067
0,349	10,052
0,349	10,087
0,349	10,063
0,350	10,046
0,352	10,076
0,353	10,046
0,359	10,045
0,363	10,088
0,370	10,037
0,381	10,051
0,399	10,054
0,427	10,073
0,461	10,082
0,506	10,077
0,561	10,104
0,624	10,079
0,692	10,145
0,767	10,180
0,854	10,193
0,942	10,240
1,015	10,294
1,089	10,344
1,161	10,383
1,219	10,433
1,275	10,484
1,329	10,518
1,382	10,564
1,433	10,651
1,482	10,671
1,530	10,720
1,572	10,788
1,612	10,821
1,653	10,859
1,691	10,932
1,706	10,926
1,720	10,988
1,736	10,985
1,753	10,976
1,772	11,049
1,793	11,085
1,813	11,106
1,835	11,138
1,858	11,184
1,881	11,197
1,904	11,231
1,927	11,283
1,950	11,315
1,972	11,384
1,994	11,416
2,015	11,451
2,036	11,510
2,057	11,549
2,077	11,587
2,096	11,628
2,115	11,662
2,134	11,679
2,152	11,669
2,170	11,746
2,188	11,778
2,210	11,777
2,267	11,814
2,326	11,885
2,393	11,940
2,449	11,984
2,504	12,052
2,568	12,088
2,626	12,120
2,687	12,166
2,747	12,226
2,802	12,247
2,864	12,311
2,932	12,331
2,993	12,388
3,054	12,450
3,114	12,518
3,178	12,562
3,246	12,613
3,306	12,668
3,367	12,689
3,435	12,771
3,502	12,819
3,562	12,874
3,625	12,889
3,699	12,968
3,761	12,986
3,833	13,009
3,892	13,007
3,960	13,033
4,029	13,027
4,102	13,061
4,168	13,047
4,228	13,080
4,307	13,054
4,377	13,118
4,457	13,084
4,524	13,094
4,597	13,104
4,664	13,121
4,742	13,109
4,808	13,135
4,890	13,162
4,968	13,172
5,044	13,171
5,138	13,162
5,213	13,204
5,297	13,187
5,383	13,228
5,472	13,225
5,579	13,243
5,690	13,271
5,783	13,245
5,899	13,245
6,032	13,277
6,172	13,271
6,329	13,310
6,397	13,315
6,400	13,307
6,401	13,324
6,402	13,274
6,405	13,317
6,408	13,324
6,410	13,320
6,410	13,305
6,412	13,292
6,414	13,322
6,416	13,343
6,416	13,305
6,491	13,325
6,809	13,342
7,189	13,370
7,590	13,404
8,162	13,477
8,760	13,524
9,667	13,565
10,722	13,607
12,064	13,743
13,707	13,854
15,547	13,973
17,406	14,221
19,265	14,449
21,072	14,659
22,648	14,820
24,291	14,986
25,703	15,157
27,127	15,446
28,386	15,640
29,704	15,752
30,798	15,977
31,840	16,157
32,852	16,372
33,794	16,495
34,847	16,555
35,737	16,783
36,642	16,862
37,484	17,092
38,349	17,243
39,173	17,323
39,938	17,606
40,880	17,696
41,744	17,905
42,658	17,996
43,501	18,305
44,437	18,432
45,255	18,553
46,150	18,861
46,905	18,950
47,810	19,191
48,534	19,404
49,238	19,519
49,974	19,635
50,660	19,696
51,380	19,901
52,054	19,975
52,810	20,167
53,577	20,541
54,209	20,934
54,850	20,593
55,500	20,787
56,222	20,927
56,858	21,249
57,493	21,269
58,144	21,475
58,778	21,684
59,521	21,912
60,159	21,952
60,903	22,199
61,471	22,391
62,261	22,496
62,942	22,843
63,615	22,936
64,396	23,022
65,012	23,044
65,732	23,340
66,394	23,538
66,976	23,654
67,663	23,830
68,286	24,045
68,966	24,312
69,718	24,305
70,313	24,514
70,948	24,706
71,588	24,815
72,204	24,826
72,746	25,037
73,457	25,156
74,019	25,317
74,684	25,470
75,216	25,629
75,826	25,726
76,361	25,975
77,013	25,955
77,617	26,149
78,297	26,237
78,852	26,447
79,491	26,559
79,901	26,645
80,474	26,825
80,896	26,941
81,736	27,058
82,416	27,203
83,121	27,408
83,764	27,515
84,195	27,650
84,824	27,766
85,517	28,237
85,571	27,836
86,014	27,990
87,066	28,090
88,034	28,442
88,303	28,505
88,844	28,588
